FEATURE_ID	FEATURE_NAME	CHR	START	END	Islet	Muscle	Adipose	Liver
ENSG00000163873	GRIK3	chr1	37261128	37499730	0.369264183241091	0.0592817009025979	0.531108818601076	0.0403452972552354
ENSG00000205212	CCDC144NL	chr17	20739760	20799453	0.67149921490145	0.103241332024397	0.225259453074152	0
ENSG00000179603	GRM8	chr7	126078652	126893348	0.566876611538728	0.0087326229995865	0.0172900465705477	0.407100718891137
ENSG00000129270	MMP28	chr17	34083268	34122711	0.028973237376786	0.0504872191262493	0.915151397553777	0.00538814594318797
ENSG00000162747	FCGR3B	chr1	161592986	161601753	0	0.079430352038551	0.390601743565274	0.529967904396174
ENSG00000179091	CYC1	chr8	145149930	145152428	0.149949835458337	0.474198073615916	0.205880326809011	0.169971764116736
ENSG00000142546	NOSIP	chr19	50058968	50093519	0.249682691739571	0.293796007165598	0.324737619008961	0.131783682085871
ENSG00000109171	SLAIN2	chr4	48343339	48428229	0.286173103130055	0.322020149819534	0.315530896014343	0.076275851036068
ENSG00000221869	CEBPD	chr8	48649471	48651648	0.141870985714423	0.129394956619719	0.524327283439883	0.204406774225975
ENSG00000128510	CPA4	chr7	129932974	129964020	0.871576816763479	0.0192640550462793	0.0974754984452091	0.011683629745033
ENSG00000239961	LILRA4	chr19	54844456	54850421	0	0.05879388306364	0.728706667391121	0.212499449545239
ENSG00000084628	NKAIN1	chr1	31652592	31712401	0.414733195781872	0.572601204378279	0.0126655998398484	0
ENSG00000179988	PSTK	chr10	124713920	124757029	0.302819485295902	0.180695719336248	0.277294173481879	0.239190621885972
ENSG00000120306	CYSTM1	chr5	139554227	139661637	0.478530115503543	0.245276785078183	0.233859881962907	0.0423332174553677
ENSG00000117245	KIF17	chr1	20990507	21044510	0.217256402946661	0.0882240300542409	0.633507524574423	0.0610120424246746
ENSG00000152022	LIX1L	chr1	145477085	145501669	0.19036032739812	0.265349595785024	0.471506907518479	0.0727831692983768
ENSG00000175646	PRM1	chr16	11374693	11375207	0	0.108437386635266	0.331029482713077	0.560533130651656
ENSG00000143933	CALM2	chr2	47387221	47403740	0.358158268159259	0.0943869067696163	0.426284317082913	0.121170507988211
ENSG00000166126	AMN	chr14	103388993	103397529	0.165512627522669	0.00108570539452904	0.00983366214871345	0.823568004934089
ENSG00000187140	FOXD3	chr1	63788730	63790797	0.226829852161488	0.305586731934786	0.395412061098232	0.0721713548054935
ENSG00000138771	SHROOM3	chr4	77356253	77704406	0.655939787199011	0.00704478568934161	0.0635456172604558	0.273469809851192
ENSG00000179163	FUCA1	chr1	24171567	24194784	0.241810749460933	0.0903482013814322	0.403147350299171	0.264693698858464
ENSG00000170298	LGALS9B	chr17	20352708	20370852	0.49909887837256	0	0.27894491368865	0.221956207938789
ENSG00000198643	FAM3D	chr3	58619673	58652575	0.914083143522054	0.00806573222715304	0.0401654476736863	0.0376856765771068
ENSG00000109189	USP46	chr4	53457138	53525502	0.350344358043216	0.262785729266854	0.300281084216781	0.0865888284731483
ENSG00000224982	TMEM233	chr12	120031264	120079363	0.0349040314014003	0.942335455052687	0.0199966930902951	0.00276382045561739
ENSG00000177294	FBXO39	chr17	6679542	6700420	0.267537796193163	0.0297370658846228	0.460540593879481	0.242184544042733
ENSG00000198901	PRC1	chr15	91509270	91538859	0.48514861367598	0.0757630614940504	0.404175163439129	0.0349131613908413
ENSG00000025770	NCAPH2	chr22	50946645	50961901	0.3869591057884	0.147804220011743	0.357453605772337	0.10778306842752
ENSG00000040633	PHF23	chr17	7138347	7143041	0.295919720942645	0.175745881899757	0.350068282281585	0.178266114876012
ENSG00000117222	RBBP5	chr1	205055270	205091143	0.396246589538881	0.186795934070251	0.297267136760349	0.119690339630519
ENSG00000164715	LMTK2	chr7	97736197	97838945	0.656769106543482	0.13946565761203	0.128866729891704	0.0748985059527838
ENSG00000244122	UGT1A7	chr2	234591014	234600993	0	0	0	1
ENSG00000138347	MYPN	chr10	69865912	69971774	0.00551441732041218	0.993806638520226	0.000499963962126692	0.000178980197235532
ENSG00000091490	SEL1L3	chr4	25749055	25865382	0.747514770564403	0.0177108828480213	0.175701922064516	0.0590724245230598
ENSG00000165416	SUGT1	chr13	53226844	53275044	0.330913443579067	0.185195444024184	0.356629399687762	0.127261712708987
ENSG00000123636	BAZ2B	chr2	160175490	160472071	0.523357185759597	0.11921485226426	0.28476928878506	0.0726586731910825
ENSG00000166396	SERPINB7	chr18	61420169	61472604	0.96825200185156	0.00668101839623644	0.0224858249032674	0.00258115484893638
ENSG00000178773	CPNE7	chr16	89642176	89663654	0.703028210798683	0.00879626906706701	0.0983887825543255	0.189786737579924
ENSG00000092036	HAUS4	chr14	23415437	23426370	0.0900279690868987	0.14446237819097	0.616187264915526	0.149322387806606
ENSG00000013725	CD6	chr11	60739115	60787849	0.376437381692059	0.0286711527409886	0.416999801522623	0.177891664044329
ENSG00000078725	BRINP1	chr9	121915736	122131745	0.429244274235534	0.170579430982939	0.217515845333358	0.182660449448169
ENSG00000127554	GFER	chr16	2034208	2037750	0.398619312088233	0.156283659453511	0.265535518903598	0.179561509554658
ENSG00000179930	ZNF648	chr1	182023705	182030847	0.0754504941481157	0.12208430715532	0	0.802465198696564
ENSG00000185630	PBX1	chr1	164524821	164868533	0.303138771674943	0.296324882732152	0.378443293708321	0.0220930518845841
ENSG00000205643	CDPF1	chr22	46639908	46646576	0.172193770995379	0.207428978334417	0.465322255981685	0.155054994688519
ENSG00000213809	KLRK1	chr12	10524952	10544473	0.00454674411045256	0.0432545602200655	0.575293852912243	0.376904842757239
ENSG00000254685	FPGT	chr1	74663896	74699770	0.127331907540221	0.132398560450567	0.541430633982894	0.198838898026318
ENSG00000101158	NELFCD	chr20	57556263	57570188	0.323824879111303	0.16487070326864	0.34537636140941	0.165928056210647
ENSG00000133958	UNC79	chr14	93799565	94174222	0.908986136235431	0.0575855931168773	0.0235228184954587	0.00990545215223319
ENSG00000023697	DERA	chr12	16064106	16190220	0.232949247752293	0.139265458932216	0.353953165439682	0.273832127875809
ENSG00000137841	PLCB2	chr15	40576457	40600123	0.0168616065425236	0.0515013714473106	0.720126863571485	0.211510158438681
ENSG00000133818	RRAS2	chr11	14299472	14386052	0.434770094462079	0.159960441071856	0.277416888910091	0.127852575555974
ENSG00000106976	DNM1	chr9	130965658	131017527	0.371879254059724	0.0272659306939674	0.571560937621035	0.0292938776252734
ENSG00000230797	YY2	chrX	21874105	21876845	0.380701292862894	0.110675749389567	0.349759114117843	0.158863843629696
ENSG00000161328	LRRC56	chr11	537527	554863	0.661982025973029	0.0650204150352428	0.16133341880348	0.111664140188249
ENSG00000163581	SLC2A2	chr3	170714137	170744539	0.0445795826658657	0	0	0.955420417334134
ENSG00000118849	RARRES1	chr3	158414681	158450485	0.41678337791729	0.0751048435113938	0.423575568876985	0.0845362096943319
ENSG00000117143	UAP1	chr1	162531323	162569627	0.254945854196344	0.102106901213707	0.461114677116315	0.181832567473634
ENSG00000075407	ZNF37A	chr10	38383264	38414472	0.390112894744203	0.118295337331665	0.328657446679769	0.162934321244364
ENSG00000137486	ARRB1	chr11	74975226	75062873	0.160686246318775	0.0584908352641908	0.715799042373921	0.065023876043113
ENSG00000100221	JOSD1	chr22	39081548	39097561	0.45728786885539	0.104291898115543	0.346346840470386	0.0920733925586813
ENSG00000196275	GTF2IRD2	chr7	74210483	74267847	0.367852972533611	0.158381139545556	0.366035914015823	0.10772997390501
ENSG00000101150	TPD52L2	chr20	62496596	62522898	0.305946374255595	0.133293731471131	0.474701486672752	0.0860584076005222
ENSG00000174405	LIG4	chr13	108859787	108870716	0.41175488387507	0.149511554028346	0.207793991060126	0.230939571036459
ENSG00000109943	CRTAM	chr11	122709208	122743347	0.169059407722506	0.0629818567595753	0.541162568990806	0.226796166527113
ENSG00000140832	MARVELD3	chr16	71660064	71676017	0.813924438997333	0.00245933271393938	0.0102095115021	0.173406716786628
ENSG00000228672	PROB1	chr5	138727635	138730885	0.0412714828603382	0.909300251570024	0.0429571892407864	0.00647107632885095
ENSG00000102401	ARMCX3	chrX	100877787	100882833	0.233861390972287	0.162784222975766	0.47735285884956	0.126001527202386
ENSG00000171595	DNAI2	chr17	72270386	72311023	0.911287247559958	0	0.0723218330724937	0.0163909193675485
ENSG00000086827	ZW10	chr11	113603909	113644533	0.229946943194476	0.264017225191325	0.36457341323274	0.14146241838146
ENSG00000183734	ASCL2	chr11	2289725	2292182	0.753584434147045	0.00928248805628142	0.133681674646478	0.103451403150196
ENSG00000146151	HMGCLL1	chr6	55299167	55444012	0.836998009686771	0.0283129950396852	0.120677662242117	0.0140113330314271
ENSG00000269430	LRRC3DN	chr21	45879814	45882078	0.0886728488672192	0.0122585486031679	0.217504917087571	0.681563685442042
ENSG00000130770	ATPIF1	chr1	28562620	28573417	0.275247529906776	0.274288725074165	0.194293083053127	0.256170661965933
ENSG00000186603	HPDL	chr1	45792545	45794347	0.534972519996884	0.210511464915031	0.230170068184305	0.0243459469037794
ENSG00000107643	MAPK8	chr10	49514698	49647403	0.469748130964883	0.129660165588458	0.283342634006906	0.117249069439753
ENSG00000138294	MSMB	chr10	51549498	51562517	0.710576948348	0	0.0563048170715528	0.233118234580448
ENSG00000112531	QKI	chr6	163835032	163999628	0.122325004296937	0.369257739563149	0.442440826153247	0.0659764299866668
ENSG00000153046	CDYL	chr6	4706393	4955785	0.374357790349891	0.189126898661929	0.394244396795228	0.0422709141929525
ENSG00000205927	OLIG2	chr21	34398153	34401504	0.613755800180678	0.177456816010924	0.208787383808397	0
ENSG00000095906	NUBP2	chr16	1832902	1839192	0.218592047878045	0.196210662423042	0.349331894969459	0.235865394729454
ENSG00000214919	AC104472.1	chr3	155459933	155461515	1	0	0	0
ENSG00000119487	MAPKAP1	chr9	128199672	128469513	0.192659633089503	0.299455637610841	0.390075561656678	0.117809167642978
ENSG00000173557	C2orf70	chr2	26785450	26802400	0.993549245085135	0	0.00645075491486472	0
ENSG00000083099	LYRM2	chr6	90277863	90348472	0.382551216035579	0.251308109136107	0.269356308318173	0.0967843665101414
ENSG00000165650	PDZD8	chr10	119040000	119134978	0.605924926762972	0.0646172840154338	0.213573023079146	0.115884766142448
ENSG00000176834	VSIG10	chr12	118501398	118573662	0.231194561798878	0.175880647185963	0.456642100426021	0.136282690589138
ENSG00000214021	TTLL3	chr3	9849770	9896822	0.105949446707083	0.0786109948925999	0.741174259271166	0.0742652991291508
ENSG00000149646	CNBD2	chr20	34556512	34618622	0.665871069053451	0.0717125758699697	0.182932595024975	0.0794837600516045
ENSG00000108641	B9D1	chr17	19240867	19281495	0.640751458561196	0.065871395816614	0.189289593453467	0.104087552168723
ENSG00000185990	F8A3	chrX	154686576	154688276	0.737282979928936	0.0613655767279246	0.145531433686112	0.055820009657028
ENSG00000065268	WDR18	chr19	983174	994569	0.229045416003966	0.187360000592292	0.325768845314376	0.257825738089366
ENSG00000167258	CDK12	chr17	37617764	37721160	0.384761976801198	0.100183000328336	0.38353173698328	0.131523285887186
ENSG00000174307	PHLDA3	chr1	201434620	201438365	0.109851975753932	0.129194839525752	0.748355417707269	0.012597767013046
ENSG00000172339	ALG14	chr1	95439963	95538501	0.346704860311138	0.0703135561994305	0.37635204417937	0.206629539310062
ENSG00000158815	FGF17	chr8	21899909	21906320	0.647750314952393	0.0298634083286072	0.207482374174782	0.114903902544218
ENSG00000154429	CCSAP	chr1	229456758	229479041	0.384992047107967	0.090468876844838	0.420695626101179	0.103843449946016
ENSG00000204387	C6orf48	chr6	31802385	31807541	0.417903827594875	0.0832135856184336	0.432315547596541	0.06656703919015
ENSG00000176381	PRR18	chr6	166719168	166721936	0.486941799464293	0.00334500988290215	0.0567125930352536	0.453000597617551
ENSG00000114859	CLCN2	chr3	184064064	184079439	0.51673222139947	0.056509889110574	0.287265720150859	0.139492169339097
ENSG00000078900	TP73	chr1	3569084	3652547	0.320148300474691	0.243684033128985	0.254026537142403	0.182141129253921
ENSG00000180190	TDRP	chr8	439803	495781	0.443626224167535	0.0297354729249052	0.264759767181577	0.261878535725982
ENSG00000103510	KAT8	chr16	31127075	31142714	0.342389012291358	0.206131372665135	0.33627849580689	0.115201119236616
ENSG00000165795	NDRG2	chr14	21484922	21539031	0.0344763069200681	0.624249514185801	0.204824525045599	0.136449653848532
ENSG00000133067	LGR6	chr1	202163029	202288909	0.0300303665777814	0.0688318528467306	0.507525392432018	0.39361238814347
ENSG00000042781	USH2A	chr1	215796236	216596738	0.156403222711722	0.0102951299628659	0.0412023650437607	0.792099282281652
ENSG00000059691	PET112	chr4	152591656	152682175	0.143356354252088	0.343837028789016	0.307516788796941	0.205289828161955
ENSG00000123200	ZC3H13	chr13	46528600	46626894	0.213761630425088	0.128288382862857	0.285066395293126	0.372883591418929
ENSG00000176222	ZNF404	chr19	44376515	44388203	0.155215769178484	0.239561055054658	0.437151103111833	0.168072072655025
ENSG00000102081	FMR1	chrX	146993469	147032645	0.347769574830017	0.0677106523327476	0.378052375253245	0.20646739758399
ENSG00000163513	TGFBR2	chr3	30647994	30735634	0.11181869494789	0.0498978114527247	0.800677764512299	0.0376057290870856
ENSG00000196220	SRGAP3	chr3	9022275	9372280	0.45803147287222	0.171886281585415	0.29266719894599	0.0774150465963754
ENSG00000228716	DHFR	chr5	79922047	79950802	0.0864551512901533	0.192773769771672	0.477415439296021	0.243355639642153
ENSG00000196584	XRCC2	chr7	152341864	152373250	0.219497179796982	0.119237353578824	0.535851221737042	0.125414244887152
ENSG00000065883	CDK13	chr7	39989636	40136733	0.26815489523587	0.153947404488143	0.433458880601757	0.14443881967423
ENSG00000129472	RAB2B	chr14	21927179	21945132	0.346382749790268	0.0725887488679492	0.432205202693483	0.1488232986483
ENSG00000143028	SYPL2	chr1	110009180	110024759	0.017795220682775	0.917213154149145	0.0291146625017291	0.0358769626663512
ENSG00000184584	TMEM173	chr5	138855549	138862375	0.167153370827856	0.0463870186986458	0.744477863722875	0.0419817467506234
ENSG00000184925	LCN12	chr9	139844003	139849949	0.251814705168767	0.0061971026445248	0.0152323748988463	0.726755817287862
ENSG00000122512	PMS2	chr7	6012870	6048756	0.233272287168737	0.159331331162314	0.495758392870577	0.111637988798372
ENSG00000196739	COL27A1	chr9	116917840	117074791	0.403693130928964	0.0410679888155414	0.199768287544864	0.355470592710631
ENSG00000163655	GMPS	chr3	155588325	155661815	0.346457412187256	0.151406337860612	0.411208458561946	0.0909277913901854
ENSG00000184056	VPS33B	chr15	91541646	91565833	0.361613453961805	0.0966100122023784	0.429954772949505	0.111821760886312
ENSG00000087494	PTHLH	chr12	28111017	28125638	0.757401341602392	0.0116495366801085	0.225499488954792	0.00544963276270727
ENSG00000231500	RPS18	chr6	33239825	33244287	0.252558482450042	0.157994393610612	0.485794648053828	0.103652475885519
ENSG00000136811	ODF2	chr9	131217465	131263571	0.250055717688789	0.0940960035058668	0.49186454535956	0.163983733445784
ENSG00000167264	DUS2	chr16	68021664	68113223	0.216358649977092	0.183640850133707	0.401657771693426	0.198342728195775
ENSG00000213516	RBMXL1	chr1	89445139	89458643	0.470183650193226	0.0748290441733447	0.315949240451154	0.139038065182275
ENSG00000181577	C6orf223	chr6	43968317	43973695	0.949822889214015	0.0135634574230787	0.00780005885990211	0.0288135945030046
ENSG00000120837	NFYB	chr12	104510855	104532067	0.180162486240934	0.217406990702982	0.464605729284557	0.137824793771526
ENSG00000087995	METTL2A	chr17	60501228	60527454	0.375333980564498	0.187166236139333	0.279998845374533	0.157500937921636
ENSG00000140015	KCNH5	chr14	63173287	63568755	1	0	0	0
ENSG00000172318	B3GALT1	chr2	168675182	168730551	0.200365256157829	0.702623770105188	0.0970109737369831	0
ENSG00000104332	SFRP1	chr8	41119481	41167016	0.06645602250323	0.0349813150958309	0.865606776268215	0.0329558861327242
ENSG00000088881	EBF4	chr20	2673524	2740753	0.414804838877107	0.0425532428348639	0.285617222353654	0.257024695934374
ENSG00000166589	CDH16	chr16	66942025	66952887	0.509244749482932	0.303583607049636	0.0961944696795728	0.0909771737878586
ENSG00000084112	SSH1	chr12	109176466	109251366	0.479351710662922	0.192739418324604	0.252008762072633	0.0759001089398416
ENSG00000137628	DDX60	chr4	169137444	169239958	0.36374077734305	0.047905582939143	0.501889384222701	0.086464255495106
ENSG00000261052	SULT1A3	chr16	30210552	30215631	0.108876718796028	0.103095042967453	0.52185270011244	0.266175538124079
ENSG00000187871	GFRAL	chr6	55192267	55267291	0.0888873868124546	0	0.911112613187545	0
ENSG00000165379	LRFN5	chr14	42076773	42373752	0.751876986859485	0.0204863366052527	0.223830465821546	0.00380621071371627
ENSG00000163138	PACRGL	chr4	20697905	20754530	0.361245099624525	0.124963329901213	0.438148054621447	0.0756435158528149
ENSG00000120262	CCDC170	chr6	151815165	151942328	0.151773564131689	0.0148993509412167	0.796820603291938	0.036506481635156
ENSG00000166888	STAT6	chr12	57489260	57525922	0.218432934493448	0.0346128388523008	0.559384463441733	0.187569763212518
ENSG00000176160	HSF5	chr17	56497528	56565745	0.508255471621389	0.024865553696564	0.256965364061893	0.209913610620154
ENSG00000151338	MIPOL1	chr14	37667118	38021566	0.304113789068203	0.137508069083369	0.447824259686929	0.1105538821615
ENSG00000223496	EXOSC6	chr16	70284134	70285833	0.482935454060778	0.14494049020455	0.262147229596829	0.109976826137843
ENSG00000134996	OSTF1	chr9	77703459	77762181	0.241401270851268	0.0461081931140681	0.537672598087054	0.174817937947611
ENSG00000153246	PLA2R1	chr2	160788519	160919121	0.0706218520295957	0.0305964461770117	0.861302798306678	0.0374789034867149
ENSG00000155508	CNOT8	chr5	154237113	154256353	0.209621779217719	0.0840309572483181	0.625466764415162	0.0808804991188007
ENSG00000129474	AJUBA	chr14	23440383	23451851	0.346278845893471	0.0229360607777723	0.274759195457106	0.35602589787165
ENSG00000141294	LRRC46	chr17	45908993	45915057	0.3863729807138	0.0548248906216465	0.296458365014577	0.262343763649977
ENSG00000102158	MAGT1	chrX	77081861	77151090	0.444275119904746	0.0864178896921485	0.243706069144116	0.22560092125899
ENSG00000185155	MIXL1	chr1	226411319	226414755	1	0	0	0
ENSG00000187021	PNLIPRP1	chr10	118349897	118368687	0.99821187949076	0.000221237718614474	0.000507563719195552	0.00105931907142936
ENSG00000160321	ZNF208	chr19	22115760	22193751	0.672633809596186	0.0414366100034703	0.244373767456636	0.0415558129437079
ENSG00000033030	ZCCHC8	chr12	122957417	122985518	0.343453183313702	0.176611397597342	0.340024114018436	0.13991130507052
ENSG00000151062	CACNA2D4	chr12	1901123	2028002	0.0853787697931496	0.0473993478197782	0.779801283408621	0.0874205989784513
ENSG00000134744	ZCCHC11	chr1	52873954	53019159	0.221869695379196	0.346214024179138	0.310451746663246	0.12146453377842
ENSG00000156515	HK1	chr10	71029740	71161638	0.171996973055872	0.48064970007622	0.330433425047759	0.0169199018201481
ENSG00000091704	CPA1	chr7	130020180	130027955	0.996652405005371	0.000415134608175184	0.00146375702370307	0.00146870336275094
ENSG00000167377	ZNF23	chr16	71481500	71496998	0.0609807785414113	0.157531725869489	0.598294623639533	0.183192871949567
ENSG00000143742	SRP9	chr1	225965531	225978168	0.261233049901847	0.221473110349312	0.315612648810017	0.201681190938824
ENSG00000170054	SERPINA9	chr14	94929054	94946026	0.161625025339644	0	0	0.838374974660356
ENSG00000172403	SYNPO2	chr4	119809996	119982402	0.00428651904491398	0.844300582060912	0.147849497793723	0.00356340110045034
ENSG00000115687	PASK	chr2	242045514	242088919	0.47141992853282	0.0455931578033515	0.359361852233682	0.123625061430147
ENSG00000166342	NETO1	chr18	70409549	70535381	0.299231615932042	0	0.700768384067958	0
ENSG00000198912	C1orf174	chr1	3805689	3816849	0.215495583187012	0.157731217307644	0.412679950023449	0.214093249481895
ENSG00000134627	PIWIL4	chr11	94277006	94354587	0.436435402916565	0.0469203659201933	0.479175526845979	0.0374687043172631
ENSG00000150773	PIH1D2	chr11	111938522	111944809	0.565954591028843	0.135523054450665	0.254871637704848	0.043650716815644
ENSG00000131437	KIF3A	chr5	132028320	132073330	0.639240475043245	0.0895004912712506	0.230479553056534	0.0407794806289706
ENSG00000162642	C1orf52	chr1	85715639	85725355	0.350476393218192	0.143005967512366	0.393130950158889	0.113386689110553
ENSG00000163909	HEYL	chr1	40089825	40105617	0.30775264068706	0.12611020551011	0.498525836352842	0.067611317449988
ENSG00000178764	ZHX2	chr8	123793633	123986750	0.386852163479175	0.267067546709744	0.246396711217069	0.0996835785940126
ENSG00000164920	OSR2	chr8	99956631	99964332	0.0669972116688741	0.0393146903958975	0.892391442950616	0.00129665498461277
ENSG00000204228	HSD17B8	chr6	33172419	33174608	0.322485201204894	0.140829448027019	0.183419585289224	0.353265765478863
ENSG00000159023	EPB41	chr1	29213603	29445939	0.239091085002971	0.199983325871322	0.28565526448405	0.275270324641657
ENSG00000197870	PRB3	chr12	11418857	11422739	1	0	0	0
ENSG00000163932	PRKCD	chr3	53190025	53226733	0.328459418798078	0.0409475848102452	0.587826301054144	0.0427666953375326
ENSG00000107821	KAZALD1	chr10	102821598	102827888	0.139456395570356	0.267309375028646	0.545010815093077	0.0482234143079216
ENSG00000141441	GAREM	chr18	29704840	30050447	0.416403488588255	0.138464661335731	0.309361290836656	0.135770559239358
ENSG00000137802	MAPKBP1	chr15	42066632	42119834	0.470695299719672	0.0997074660074622	0.351362049452043	0.0782351848208231
ENSG00000107175	CREB3	chr9	35732393	35736862	0.371728926547733	0.112239634543074	0.384198772940251	0.131832665968941
ENSG00000256294	ZNF225	chr19	44616393	44637027	0.248215547626319	0.108240830142277	0.467523701939562	0.176019920291842
ENSG00000111732	AICDA	chr12	8754762	8765467	0.0738267539020311	0.0445800920134694	0.881593154084499	0
ENSG00000151838	CCDC175	chr14	59971779	60043549	0.233989305958878	0.163827917454513	0.418517890884481	0.183664885702128
ENSG00000198756	COLGALT2	chr1	183898796	184006863	0.497926523702624	0.410932818983575	0.0755453642488609	0.0155952930649403
